City,Violence,"Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Gibbsboro,4,0,0,1,3,28,12,16,0,0
Glassboro,38,0,3,10,25,327,69,250,8,3
Glen Ridge,1,0,0,1,0,158,24,121,13,0
Glen Rock,0,0,0,0,0,49,1,47,1,1
Gloucester City,34,0,0,13,21,269,47,204,18,0
Gloucester Township,78,5,10,24,39,945,90,839,16,3
Green Brook Township,10,0,0,2,8,94,21,61,12,0
"Greenwich Township, Gloucester County",7,0,0,1,6,68,7,56,5,0
"Greenwich Township, Warren County",0,0,0,0,0,99,6,93,0,0
Guttenberg,28,1,5,10,12,99,20,74,5,0
Hackensack,116,0,15,28,73,649,36,578,35,0
Hackettstown,5,0,1,1,3,46,2,40,4,0
Haddonfield,6,0,1,1,4,100,21,78,1,0
Haddon Heights,3,0,0,1,2,41,12,28,1,0
Haddon Township,19,0,0,13,6,247,37,199,11,1
Haledon,15,0,0,1,14,120,23,89,8,0
Hamburg,1,0,0,0,1,11,1,10,0,0
"Hamilton Township, Atlantic County",57,2,3,13,39,857,98,736,23,4
"Hamilton Township, Mercer County",116,4,12,50,50,"1,700",325,"1,296",79,3
Hammonton,9,0,0,5,4,149,30,111,8,0
Hanover Township,4,0,2,1,1,161,10,143,8,0
Harding Township,0,0,0,0,0,18,5,11,2,0
Hardyston Township,7,0,1,0,6,38,9,27,2,1
Harrington Park,0,0,0,0,0,13,7,3,3,0
Harrison,41,1,5,11,24,373,45,259,69,0
Harrison Township,2,0,1,1,0,67,13,53,1,0
Harvey Cedars,0,0,0,0,0,24,3,21,0,0
Hasbrouck Heights,1,0,0,0,1,51,0,51,0,0
Haworth,0,0,0,0,0,12,1,11,0,0
Hawthorne,2,0,0,2,0,177,28,139,10,0
Hazlet Township,23,0,4,4,15,208,13,187,8,0
Helmetta,0,0,0,0,0,8,0,8,0,0
High Bridge,4,0,0,0,4,21,8,13,0,0
Highland Park,8,1,0,1,6,166,20,141,5,0
Highlands,1,0,0,0,1,28,4,24,0,0
Hightstown,1,0,1,0,0,34,6,28,0,0
Hillsborough Township,15,0,6,1,8,240,46,190,4,2
Hillsdale,3,0,0,1,2,41,3,37,1,0
Hillside Township,41,0,2,22,17,540,72,372,96,0
Hi-Nella,1,0,1,0,0,10,1,9,0,0
Hoboken,119,0,4,23,92,862,99,726,37,0
Ho-Ho-Kus,1,0,0,0,1,31,10,20,1,0
Holland Township,4,0,2,0,2,9,2,6,1,0
Holmdel Township,4,0,2,0,2,129,6,108,15,2
Hopatcong,6,0,0,0,6,42,3,33,6,0
Hopewell Borough,0,0,0,0,0,6,1,5,0,0
Hopewell Township,8,0,5,1,2,76,18,58,0,0
Howell Township,36,0,4,8,24,351,61,282,8,1
Independence Township,3,0,2,0,1,10,5,3,2,0
Interlaken,0,0,0,0,0,5,5,0,0,0
Irvington,354,5,24,218,107,"1,277",229,656,392,0
Island Heights,3,0,1,1,1,12,1,11,0,0
Jackson Township,27,1,7,4,15,360,73,263,24,3
Jamesburg,5,0,1,2,2,56,10,45,1,0
Jefferson Township,5,0,0,0,5,84,16,64,4,0
Jersey City,"1,233",17,89,458,669,"4,781",988,"3,190",603,20
Keansburg,33,0,4,10,19,160,24,132,4,0
Kearny,38,0,1,10,27,677,61,547,69,0
Kenilworth,9,0,3,2,4,114,4,99,11,0
Keyport,17,1,0,5,11,87,15,64,8,0
Kinnelon,1,0,0,0,1,25,13,11,1,0
Lacey Township,18,0,5,2,11,257,30,221,6,0
Lake Como,2,0,1,0,1,16,3,13,0,0
Lakehurst,9,0,0,3,6,30,4,25,1,0
Lakewood Township,129,0,2,30,97,779,145,588,46,8
Lambertville,2,0,0,0,2,44,5,34,5,0
Laurel Springs,2,0,0,0,2,22,5,16,1,0
Lavallette,1,0,0,0,1,22,1,21,0,0
Lawnside,6,0,0,4,2,122,16,103,3,0
"Lawrence Township, Mercer County",30,0,6,6,18,596,54,529,13,1
Lebanon Township,3,0,0,0,3,28,13,15,0,0
Leonia,3,0,0,0,3,74,28,41,5,0
Lincoln Park,0,0,0,0,0,60,6,49,5,0
Linden,122,1,16,39,66,"1,126",143,943,40,1
Lindenwold,111,2,16,40,53,455,103,328,24,3
Linwood,4,1,0,2,1,53,12,40,1,0
Little Egg Harbor Township,4,1,0,1,2,241,38,194,9,2
Little Falls Township,16,0,0,0,16,113,17,83,13,0
Little Ferry,7,0,0,0,7,94,17,67,10,0
Little Silver,2,0,0,0,2,34,3,27,4,0
Livingston Township,23,0,2,3,18,277,22,238,17,1
Loch Arbour,0,0,0,0,0,4,1,3,0,0
Lodi,28,0,3,9,16,254,37,184,33,1
Logan Township,5,0,0,3,2,115,12,96,7,0
Long Beach Township,3,0,0,0,3,59,5,53,1,1
Long Branch,124,3,7,24,90,639,94,514,31,2
Long Hill Township,3,0,0,1,2,43,2,37,4,0
Longport,0,0,0,0,0,5,0,3,2,0
Lopatcong Township,1,0,1,0,0,67,6,59,2,0
Lower Alloways Creek Township,1,0,0,0,1,7,1,6,0,0
Lower Township,35,1,6,7,21,163,38,118,7,1
Lumberton Township,10,1,0,5,4,212,8,194,10,0
Lyndhurst Township,12,0,2,3,7,168,12,138,18,0
Madison,3,0,1,1,1,76,6,68,2,1
Magnolia,9,0,0,3,6,85,16,62,7,0
Mahwah Township,3,0,2,0,1,98,7,79,12,1
Manalapan Township,13,0,7,2,4,218,36,165,17,0
Manasquan,7,0,0,2,5,60,5,50,5,0
Manchester Township,15,1,1,2,11,238,48,185,5,6
"Mansfield Township, Burlington County",3,0,0,2,1,61,9,46,6,1
"Mansfield Township, Warren County",1,0,1,0,0,82,8,72,2,0
Mantoloking,0,0,0,0,0,11,2,6,3,0
Mantua Township,7,0,0,3,4,190,41,136,13,0
Manville,18,0,6,3,9,214,10,191,13,2
Maple Shade Township,38,0,8,10,20,305,55,226,24,1
Maplewood Township,22,1,2,12,7,394,43,291,60,0
Margate City,9,0,1,1,7,135,43,92,0,0
Marlboro Township,25,0,1,1,23,271,37,206,28,2
Matawan,0,0,0,0,0,10,0,9,1,0
Maywood,4,0,0,3,1,68,9,55,4,0
Medford Lakes,1,0,1,0,0,21,3,17,1,0
Medford Township,47,0,2,3,42,176,25,146,5,0
Mendham,0,0,0,0,0,24,4,18,2,0
Mendham Township,0,0,0,0,0,12,6,5,1,0
Merchantville,4,0,0,0,4,64,20,41,3,0
Metuchen,5,0,0,3,2,128,20,102,6,0
Middlesex Borough,11,0,1,3,7,100,13,81,6,1
Middle Township,51,0,9,12,30,394,79,301,14,3
Middletown Township,14,0,1,2,11,388,32,334,22,4
Midland Park,1,0,1,0,0,37,0,36,1,0
Millburn Township,8,0,0,8,0,369,27,325,17,0
Milltown,2,0,0,2,0,113,3,110,0,0
Millville,127,3,7,44,73,"1,217",149,"1,041",27,3
Mine Hill Township,0,0,0,0,0,16,4,8,4,0
Monmouth Beach,0,0,0,0,0,26,5,17,4,1
"Monroe Township, Gloucester County",47,2,7,12,26,462,105,335,22,0
"Monroe Township, Middlesex County",5,0,1,0,4,158,16,128,14,0
Montclair,37,3,10,5,19,502,110,350,42,2
Montgomery Township,7,0,0,0,7,97,43,50,4,0
Montvale,0,0,0,0,0,20,0,19,1,0
Montville Township,4,0,1,0,3,173,16,124,33,0
Moonachie,4,0,2,0,2,58,3,53,2,0
Moorestown Township,13,0,1,5,7,251,30,208,13,0
Morris Plains,3,0,1,1,1,61,2,59,0,0
Morristown,30,0,2,9,19,202,14,177,11,0
Morris Township,6,0,0,1,5,120,25,91,4,0
Mountain Lakes,0,0,0,0,0,43,7,23,13,0
Mountainside,2,0,0,0,2,53,4,40,9,0
Mount Arlington,1,0,0,0,1,25,2,22,1,0
Mount Ephraim,6,0,0,5,1,200,19,172,9,0
Mount Holly Township,38,0,12,7,19,231,17,207,7,1
Mount Laurel Township,52,0,6,17,29,664,51,579,34,1
Mount Olive Township,6,0,1,1,4,77,15,59,3,0
Mullica Township,6,0,0,1,5,71,33,31,7,0
National Park,0,0,0,0,0,35,2,31,2,0
Neptune City,10,0,1,1,8,141,9,130,2,0
Neptune Township,106,2,4,24,76,851,92,749,10,3
Netcong,3,0,2,1,0,14,1,12,1,0
Newark,"2,069",75,150,689,"1,155","5,674",832,"2,827","2,015",38
New Brunswick,309,2,30,142,135,"1,210",230,907,73,6
Newfield,0,0,0,0,0,14,2,11,1,0
New Hanover Township,0,0,0,0,0,2,0,2,0,0
New Milford,5,0,1,0,4,52,11,39,2,1
New Providence,0,0,0,0,0,65,7,53,5,0
Newton,11,0,0,1,10,81,8,72,1,1
North Arlington,5,0,0,2,3,148,9,120,19,0
North Bergen Township,98,0,19,27,52,435,70,302,63,0
North Brunswick Township,53,0,5,24,24,683,90,562,31,0
North Caldwell,0,0,0,0,0,14,0,12,2,0
Northfield,8,0,0,2,6,78,29,47,2,0
North Haledon,3,0,1,1,1,32,6,26,0,0
North Hanover Township,6,0,0,0,6,22,5,17,0,0
North Plainfield,39,1,7,18,13,338,54,272,12,0
Northvale,2,0,0,0,2,5,0,5,0,0
North Wildwood,13,0,2,1,10,167,23,144,0,0
Norwood,0,0,0,0,0,15,0,14,1,0
Nutley Township,27,0,2,4,21,197,27,149,21,0
Oakland,7,0,0,0,7,48,4,44,0,0
Oaklyn,10,0,0,5,5,140,37,99,4,0
Ocean City,5,0,0,0,5,283,33,249,1,0
Ocean Gate,1,0,0,0,1,30,8,22,0,0
Oceanport,4,0,0,0,4,47,11,33,3,0
"Ocean Township, Monmouth County",20,0,1,8,11,586,66,505,15,1
"Ocean Township, Ocean County",1,0,0,1,0,54,8,45,1,0
Ogdensburg,1,0,1,0,0,3,0,2,1,0
Old Bridge Township,28,0,1,12,15,490,49,393,48,0
Old Tappan,1,0,0,0,1,22,2,12,8,0
Oradell,6,0,4,0,2,25,4,18,3,0
Orange City,226,6,10,154,56,772,188,411,173,4
Oxford Township,0,0,0,0,0,12,2,9,1,0
Palisades Park,17,0,1,10,6,130,34,80,16,0
Palmyra,12,0,3,1,8,152,16,130,6,0
Paramus,24,0,3,12,9,"1,067",24,"1,015",28,0
Park Ridge,3,0,0,0,3,15,6,9,0,0
Parsippany-Troy Hills Township,29,1,4,6,18,362,53,279,30,0
Passaic,406,1,7,167,231,"1,298",170,943,185,5
Paterson,"1,076",13,49,532,482,"3,564",797,"2,326",441,8
Paulsboro,16,2,0,8,6,196,59,128,9,0
Peapack-Gladstone,0,0,0,0,0,19,10,9,0,0
Pemberton Borough,2,0,0,2,0,28,2,24,2,0
Pemberton Township,90,1,0,25,64,547,215,304,28,2
Pennington,1,0,1,0,0,5,0,5,0,0
Pennsauken Township,101,0,5,41,55,909,298,564,47,2
Penns Grove,33,3,4,8,18,180,36,135,9,3
Pennsville Township,6,0,1,0,5,236,21,209,6,1
Pequannock Township,3,0,0,0,3,93,17,72,4,0
Perth Amboy,165,1,0,53,111,721,126,530,65,1
Phillipsburg,44,0,12,15,17,295,56,230,9,3
Pine Beach,2,0,1,1,0,21,4,17,0,0
Pine Hill,25,0,0,9,16,162,45,114,3,3
Pine Valley,0,0,0,0,0,0,0,0,0,0
Piscataway Township,54,0,6,18,30,425,70,320,35,1
Pitman,4,1,0,1,2,48,9,38,1,0
Plainfield,195,5,4,99,87,820,141,597,82,9
Plainsboro Township,10,0,0,0,10,118,12,102,4,0
Pleasantville,92,1,19,33,39,306,99,195,12,3
Plumsted Township,1,0,0,0,1,53,22,28,3,0
Pohatcong Township,1,0,0,1,0,146,5,140,1,0
Point Pleasant,14,0,0,2,12,115,22,92,1,0
Point Pleasant Beach,3,0,0,0,3,64,5,59,0,0
Pompton Lakes,15,0,0,0,15,89,24,62,3,0
Princeton,11,0,0,3,8,224,43,169,12,2
Prospect Park,5,0,1,3,1,95,17,66,12,0
Rahway,34,0,4,9,21,245,44,163,38,1
Ramsey,2,0,0,0,2,106,8,96,2,1
Randolph Township,2,0,0,0,2,128,14,106,8,0
Raritan,1,0,0,0,1,59,5,54,0,0
Raritan Township,5,0,0,2,3,95,8,84,3,1
Readington Township,2,1,0,0,1,82,16,60,6,0
Red Bank,21,1,0,6,14,162,14,139,9,0
Ridgefield,3,0,0,1,2,68,7,57,4,0
Ridgefield Park,13,0,0,2,11,99,9,88,2,0
Ridgewood,5,0,1,0,4,155,22,130,3,0
Ringwood,6,0,1,0,5,48,15,29,4,0
Riverdale,0,0,0,0,0,93,5,85,3,0
River Edge,0,0,0,0,0,64,6,56,2,0
Riverside Township,7,0,0,1,6,15,8,6,1,0
Riverton,2,0,0,0,2,35,4,30,1,0
River Vale Township,1,0,0,0,1,24,2,19,3,1
Robbinsville Township,2,1,0,1,0,59,10,47,2,0
Rochelle Park Township,1,0,0,1,0,73,8,62,3,0
Rockaway,0,0,0,0,0,54,5,48,1,0
Rockaway Township,6,0,0,3,3,294,14,269,11,0
Rockleigh,1,0,0,0,1,0,0,0,0,0
Roseland,1,0,0,0,1,31,6,19,6,0
Roselle,45,0,0,14,31,281,53,203,25,1
Roselle Park,5,0,0,4,1,104,6,91,7,0
Roxbury Township,1,0,1,0,0,127,9,111,7,0
Rumson,1,0,0,0,1,26,3,13,10,0
Runnemede,7,0,0,2,5,208,53,147,8,2
Rutherford,19,0,1,3,15,164,22,132,10,0
Saddle Brook Township,1,0,0,0,1,192,2,187,3,0
Saddle River,0,0,0,0,0,29,4,17,8,0
Salem,43,2,2,9,30,221,75,129,17,11
Sayreville,44,0,3,6,35,301,31,236,34,3
Scotch Plains Township,10,0,1,2,7,171,36,127,8,0
Sea Bright,2,0,1,0,1,5,2,3,0,0
Sea Girt,4,0,0,2,2,32,2,24,6,0
Sea Isle City,3,0,0,3,0,103,23,80,0,0
Seaside Heights,26,1,1,6,18,215,38,173,4,0
Seaside Park,0,0,0,0,0,26,1,25,0,0
Secaucus,30,0,0,14,16,526,32,473,21,0
Ship Bottom,0,0,0,0,0,23,4,19,0,0
Shrewsbury,1,0,0,0,1,85,10,72,3,0
Somerdale,13,0,0,6,7,175,32,138,5,0
Somers Point,14,0,3,6,5,246,30,209,7,0
Somerville,16,0,2,5,9,131,24,101,6,0
South Amboy,6,0,0,1,5,97,19,68,10,1
South Bound Brook,4,0,2,1,1,28,5,21,2,0
South Brunswick Township,23,0,5,7,11,276,46,219,11,1
South Hackensack Township,6,1,0,3,2,63,6,51,6,0
South Harrison Township,0,0,0,0,0,13,3,8,2,0
South Orange Village,22,0,0,10,12,293,38,229,26,0
South Plainfield,23,0,0,5,18,397,34,339,24,1
South River,19,0,3,2,14,122,16,102,4,2
South Toms River,7,0,0,1,6,43,5,35,3,0
Sparta Township,5,0,0,1,4,54,6,41,7,0
Spotswood,1,0,0,0,1,61,7,53,1,0
"Springfield Township, Burlington County",1,0,0,1,0,26,5,19,2,1
"Springfield Township, Union County",4,0,0,1,3,144,22,113,9,0
Spring Lake,0,0,0,0,0,41,4,35,2,0
Spring Lake Heights,1,0,0,1,0,17,1,11,5,0
Stafford Township,15,0,1,1,13,183,13,162,8,1
Stanhope,2,0,0,1,1,18,0,17,1,0
Stone Harbor,0,0,0,0,0,63,8,54,1,0
Stratford,6,0,1,3,2,77,11,65,1,0
Summit,7,0,2,5,0,143,9,120,14,0
Surf City,0,0,0,0,0,12,1,11,0,0
Swedesboro,1,0,0,1,0,14,1,12,1,0
Tavistock,0,0,0,0,0,1,0,1,0,0
Teaneck Township,45,0,10,13,22,419,79,322,18,2
Tenafly,4,0,0,1,3,37,9,21,7,0
Teterboro,1,0,0,0,1,137,0,132,5,0
Tewksbury Township,0,0,0,0,0,12,3,8,1,0
Tinton Falls,5,0,0,1,4,182,15,164,3,0
Toms River Township,55,1,19,10,25,"1,317",171,"1,112",34,1
Totowa,12,1,1,0,10,219,12,198,9,0
Trenton,973,16,40,342,575,"2,467",772,"1,318",377,14
Tuckerton,1,0,0,0,1,36,14,21,1,0
Union Beach,7,0,1,0,6,24,2,20,2,0
Union City,233,2,0,76,155,"1,078",95,894,89,0
Union Township,45,0,1,24,20,954,96,767,91,1
Upper Saddle River,0,0,0,0,0,25,1,15,9,0
Ventnor City,17,3,0,5,9,259,54,199,6,1
Vernon Township,1,0,0,0,1,100,12,82,6,0
Verona,0,0,0,0,0,89,15,68,6,0
Vineland,258,1,22,59,176,"2,021",399,"1,564",58,9
Voorhees Township,42,0,12,10,20,375,35,322,18,1
Waldwick,2,0,0,0,2,47,8,34,5,0
Wallington,5,0,0,2,3,120,8,108,4,0
Wall Township,6,0,0,0,6,262,36,225,1,0
Wanaque,11,0,0,2,9,71,1,70,0,0
Warren Township,3,0,1,1,1,52,10,28,14,0
Washington,4,0,0,0,4,47,19,28,0,0
"Washington Township, Bergen County",0,0,0,0,0,29,6,20,3,0
"Washington Township, Gloucester County",66,1,1,10,54,554,73,463,18,0
"Washington Township, Morris County",7,0,3,0,4,50,6,39,5,0
"Washington Township, Warren County",2,0,1,0,1,50,9,39,2,0
Watchung,1,0,0,1,0,395,17,374,4,0
Waterford Township,7,0,1,1,5,64,9,51,4,0
Wayne Township,64,0,0,13,51,986,75,875,36,5
Weehawken Township,23,0,0,7,16,223,24,182,17,0
Wenonah,3,0,0,0,3,13,7,4,2,0
Westampton Township,18,0,7,6,5,144,27,109,8,1
West Amwell Township,2,0,1,0,1,16,7,9,0,0
West Caldwell Township,2,0,0,0,2,68,5,57,6,0
West Cape May,1,0,0,0,1,13,3,10,0,0
West Deptford Township,19,0,2,4,13,290,73,203,14,0
Westfield,4,0,0,2,2,217,24,167,26,0
West Long Branch,3,0,0,2,1,101,9,86,6,0
West Milford Township,10,0,2,0,8,158,23,127,8,2
West New York,138,1,7,61,69,567,92,449,26,1
West Orange,91,1,13,24,53,615,81,462,72,0
Westville,5,0,0,2,3,118,22,84,12,0
West Wildwood,0,0,0,0,0,6,1,4,1,0
West Windsor Township,11,0,2,3,6,298,48,243,7,1
Westwood,11,0,1,0,10,57,20,36,1,0
Wharton,2,0,0,0,2,69,10,57,2,0
Wildwood,40,0,1,10,29,314,39,269,6,0
Wildwood Crest,7,0,0,0,7,61,19,42,0,0
Willingboro Township,112,0,9,23,80,476,152,297,27,4
Winfield Township,1,0,0,1,0,8,5,3,0,0
Winslow Township,64,3,20,8,33,512,143,357,12,6
Woodbridge Township,113,0,6,32,75,"1,554",142,"1,325",87,6
Woodbury,53,1,0,28,24,423,65,328,30,0
Woodbury Heights,0,0,0,0,0,52,4,43,5,0
Woodcliff Lake,0,0,0,0,0,20,3,13,4,0
Woodland Park,10,0,2,2,6,149,16,127,6,0
Woodlynne,11,0,0,4,7,43,5,31,7,0
Wood-Ridge,7,0,0,1,6,83,5,77,1,0
Woodstown,2,0,0,0,2,46,30,14,2,0
Woolwich Township,0,0,0,0,0,50,3,43,4,0
Wyckoff Township,6,0,1,1,4,84,9,70,5,1
